dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities,url
Caiseal Beer & Spirits,,,,"504 North King Street, Hampton, Virginia, 23669",37.031249,-76.345345,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/caiseal-beer-spirits/
Canterbury Brewers & Distillers,,,,"77 Stour St., Canterbury, England, CT1 2NR",51.278728,1.078208,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/canterbury-brewers-distillers/
CJ Spirits,,,,"129 North Fraley Street, Kane, Pennsylvania, 16735",41.662839,-78.811143,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cj-spirits/
CH Distillery and Cocktail Bar,,,,"564 W Randolph Street, Chicago, Illinois, 60661",41.884709,-87.642352,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/ch-distillery-and-cocktail-bar/
Canadian Mist Distillers,,,,"202 MacDonald Rd, Collingwood, Ontario, L9Y 4J2",44.497932,-80.192327,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/canadian-mist-distillers/
Chattermark Distillers,,,,"200 Terminal St, Charlestown, Massachusetts, 02129",42.383073,-71.049916,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chattermark-distillers/
Chicken Cock Whiskey,,,,"103 E Stephen Foster Ave, Bardstown, Kentucky, 40004",37.808589,-85.466601,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/chicken-cock-whiskey/
Copper Horse Distilling,,,,"Columbia, South Carolina, 29201",34.00071,-81.034814,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/copper-horse-distilling/
Channel Islands Distillery,,,,"Ventura, California",34.274646,-119.229032,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/channel-islands-distillery/
Bull Creek Distillery,,,,"20559 S Lone Elm Rd, Spring Hill, Kansas, 66083",38.743065,-94.825517,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/bull-creek-distillery/
Carolina Moon Distillery,,,,"101 Main Street, Edgefield, South Carolina, 29824",33.789577,-81.929558,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/carolina-moon-distillery/
Chronicles Distilling,,,,"1506 Thomes Ave, Cheyenne, Wyoming, 82001",41.130707,-104.818513,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chronicles-distilling/
Cold Spring Hollow Distillery,,,,"8 Findlay Dr, Mercersburg, Pennsylvania, 17236",39.83737,-77.906369,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cold-spring-hollow-distillery/
Brushy Mountain Distillery,,,,"9182 Hwy 116, Petros, Tennessee, 37845",36.104517,-84.448653,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/brushy-mountain-distillery/
Collier and McKeel,,,,"600 Church Street, Nashville, Tennessee, 37219",36.162664,-86.781602,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/collier-and-mckeel/
Central Kentucky Tours,,,,"638 Beaumont Dr, Harrodsburg, Kentucky, 40330",37.752597,-84.842739,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/central-kentucky-tours/
Charbay Winery & Distillery,,,,"3001 S State St suite 48, Ukiah, California, 95482",39.11136,-123.196517,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/charbay-winery-distillery/
